"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1840.56547384994
"FDW14","OUT017",1390.46625107378
"NCN55","OUT010",784.595008550801
"FDQ58","OUT017",2030.19909702628
"FDY38","OUT027",5713.40421060133
"FDH56","OUT046",1849.55414559945
"FDL48","OUT018",752.548703798677
"FDC48","OUT027",2355.86565392794
"FDN33","OUT045",1347.46117041967
"FDA36","OUT017",2739.09235162751
"FDT44","OUT017",1849.12999542378
"FDQ56","OUT045",1526.15283819693
"NCC54","OUT019",613.405967133126
"FDU11","OUT049",2089.929501719
"DRL59","OUT013",844.085811303304
"FDM24","OUT049",2378.34758223294
"FDI57","OUT045",3130.18216853903
"DRC12","OUT018",3374.48970867505
"NCM42","OUT027",2733.417475874
"FDA46","OUT010",423.964671493125
"FDA31","OUT013",3149.1327173537
"NCJ31","OUT035",3583.13642745088
"FDG52","OUT046",737.795275135695
"NCL19","OUT019",390.243649016341
"FDS10","OUT035",3414.83536804161
"FDX22","OUT010",499.767678516523
"NCF19","OUT035",674.923582269616
"NCE06","OUT046",2481.07828271086
"DRC27","OUT046",3977.99643559178
"FDE21","OUT035",1841.24833905614
"NCR42","OUT019",119.476703994148
"FDX51","OUT018",2652.19944377317
"NCR06","OUT018",606.410116172083
"FDU31","OUT027",5462.88577733684
"FDU59","OUT017",2458.31470506211
"FDR03","OUT027",5273.82197209812
"FDS49","OUT027",2412.982607145
"FDD48","OUT010",225.502794062436
"NCF18","OUT017",3006.75704880619
"NCD43","OUT027",2597.16617936292
"NCD54","OUT018",1902.93058838395
"FDY19","OUT010",210.550775980273
"NCY54","OUT017",2611.99423803492
"NCL19","OUT018",2010.81194199994
"FDP23","OUT010",447.412902757334
"FDC26","OUT013",1769.3666822941
"FDR14","OUT010",203.706482434287
"NCS41","OUT035",3358.85393290792
"FDF41","OUT035",4076.19060669535
"FDU34","OUT046",1969.97495332527
"DRH11","OUT046",871.902135818627
"FDM03","OUT013",1754.8721826246
"FDS31","OUT017",3239.6989505749
"FDJ20","OUT017",2373.63812736783
"FDV44","OUT027",4896.6968538003
"FDG02","OUT049",3017.23274884089
"FDA09","OUT013",3660.09064513991
"FDT04","OUT013",575.070303340024
"FDL58","OUT019",519.042886750757
"FDE52","OUT045",1451.87036821445
"FDW12","OUT035",2727.49543686276
"FDL51","OUT017",3740.24173500634
"NCY42","OUT027",2947.33443123874
"FDR07","OUT017",1736.54022423412
"FDN40","OUT045",2363.55313647656
"FDB35","OUT027",2772.92427853951
"FDA22","OUT017",2224.65606175197
"NCL06","OUT046",4595.21967365125
"FDI35","OUT013",3873.04234286873
"NCW42","OUT045",3811.79957368793
"NCX06","OUT049",3232.28262141742
"FDC37","OUT027",2836.95236320342
"FDZ14","OUT018",1650.3565095417
"DRG49","OUT049",4572.22479579081
"NCG06","OUT045",3883.2999198363
"DRC36","OUT045",2902.13306554906
"FDV21","OUT019",431.371636678703
"FDB53","OUT046",3216.31500712914
"DRP47","OUT019",538.83927154368
"FDA14","OUT013",2516.38556127024
"DRC24","OUT035",2634.79279103077
"FDW21","OUT018",1486.86198257561
"NCH29","OUT046",2030.95790560283
"FDU58","OUT013",3196.7328017335
"FDY27","OUT017",2532.46638326222
"FDV56","OUT035",1838.54915368379
"FDT59","OUT046",4053.20246268473
"FDB23","OUT046",3089.46885079169
"FDR49","OUT045",811.852210745062
"FDB03","OUT010",634.320530909294
"FDN39","OUT045",3028.29823505939
"FDX02","OUT027",5656.13101147652
"FDQ16","OUT027",2857.72916614892
"FDU35","OUT018",1418.3564271088
"NCT29","OUT013",1815.14105282486
"FDZ27","OUT046",855.520018132453
"FDN57","OUT017",1969.57329592977
"FDA03","OUT018",2018.45707874925
"FDZ36","OUT045",3489.92867187997
"NCU05","OUT013",1305.96021853038
"FDT39","OUT018",2311.00827379589
"FDK60","OUT017",1695.65623907833
"FDZ25","OUT017",2843.62494662901
"FDG12","OUT046",2427.08408460224
"DRB01","OUT019",507.888139953716
"NCC43","OUT027",5263.65334411487
"FDX13","OUT019",515.185325101959
"FDM22","OUT049",903.301286116365
"FDJ03","OUT027",1675.8301541129
"FDU14","OUT018",3228.09874442164
"FDB33","OUT010",407.700759050118
"FDP27","OUT046",3684.15107000656
"FDO38","OUT010",159.342818163434
"FDE28","OUT027",5768.43120914123
"FDO27","OUT035",1465.02217203724
"DRL23","OUT027",2521.60850134722
"FDS28","OUT046",980.451602896184
"FDX24","OUT013",1233.12006831098
"FDZ02","OUT035",1455.40010211784
"FDL46","OUT045",1935.99768886354
"FDS60","OUT027",4977.67264307658
"NCO06","OUT017",636.103094856268
"FDO16","OUT035",1670.38006850282
"FDC60","OUT049",1737.20625501833
"FDA48","OUT018",3729.93291620227
"FDZ36","OUT027",5237.83225660079
"FDK27","OUT045",1779.90350493284
"FDW23","OUT018",796.922767273391
"FDM14","OUT018",1635.70558765837
"FDM14","OUT013",1535.08509936354
"FDW60","OUT018",3119.78286939382
"FDE21","OUT013",1802.81777776347
"NCM42","OUT035",1986.96914934172
"FDY59","OUT010",185.452739677137
"DRI49","OUT049",1350.629313743
"FDT28","OUT019",300.557952775963
"FDQ22","OUT018",578.011999146656
"FDR60","OUT049",1173.07419899815
"FDC50","OUT019",278.368601230904
"FDV24","OUT013",2490.60530099487
"DRF48","OUT010",536.369300122261
"FDQ47","OUT046",812.525364275376
"DRN36","OUT049",1668.73031582373
"NCY06","OUT035",2279.83028009129
"FDE52","OUT035",1488.74340802566
"NCB54","OUT045",1616.42568378141
"NCF31","OUT035",2295.52643141975
"FDJ08","OUT027",5218.48897262233
"NCC07","OUT017",1542.28799994345
"NCD19","OUT027",1880.34406507368
"FDL46","OUT049",1867.53345435982
"FDM20","OUT045",4184.84988984216
"NCI06","OUT010",453.159193114995
"DRM11","OUT035",4330.94243711578
"NCH07","OUT018",2274.5312174491
"FDS23","OUT013",2123.49823223744
"FDO49","OUT018",717.187033439238
"FDS35","OUT049",996.141215857397
"DRK39","OUT045",1442.99894559218
"DRI39","OUT049",886.96608886634
"FDV04","OUT017",2370.13846306947
"NCN14","OUT035",3079.84857770205
"FDH08","OUT013",3801.23738524652
"FDS20","OUT046",3247.56153620946
"FDV40","OUT049",1056.32211374869
"FDZ48","OUT010",245.199120378952
"FDS24","OUT027",2521.34533409013
"FDK44","OUT049",2597.08001330095
"FDS48","OUT045",2542.60167983441
"FDK26","OUT010",512.298757944037
"FDD23","OUT045",3106.02685902531
"NCH54","OUT017",2546.25834939429
"NCP14","OUT010",228.35782558376
"FDM60","OUT010",105.690425767029
"FDV24","OUT017",2284.61362702877
"FDH08","OUT018",2837.40315937644
"FDS12","OUT027",3487.05452391672
"FDR39","OUT027",4801.69326936095
"FDP12","OUT027",1552.34263010901
"DRF60","OUT027",4395.75980196829
"FDC09","OUT035",1724.17712088237
"FDF50","OUT018",3313.94481930564
"FDG28","OUT035",4087.60597895109
"NCE19","OUT017",928.452134025356
"NCM53","OUT010",240.277673516297
"NCN18","OUT049",1432.91333031657
"FDF32","OUT035",3407.45420062749
"FDF11","OUT013",3943.04474233587
"DRI59","OUT049",3948.31652990362
"NCG54","OUT035",3105.35248574431
"FDM44","OUT046",1576.08664416209
"FDT57","OUT018",2612.65044069156
"FDV24","OUT046",2299.30588695709
"FDI50","OUT019",493.037012011128
"FDS09","OUT035",836.12722705187
"NCC31","OUT027",3608.38754595287
"FDQ07","OUT019",558.913813203425
"FDC22","OUT017",3312.54173935587
"FDZ56","OUT046",2776.41977469844
"FDZ40","OUT019",181.960749370487
"FDS46","OUT027",2830.40793045575
"DRD24","OUT045",1731.13897388356
"FDV45","OUT017",3112.86159512988
"FDL26","OUT045",3449.65966016396
"FDA56","OUT018",1689.69444389378
"FDN27","OUT046",1773.57809180596
"FDM20","OUT049",4239.75011858476
"FDO16","OUT017",1911.81361779731
"FDL03","OUT035",3437.88766373575
"FDE58","OUT046",1973.26239368866
"FDI02","OUT027",2951.93901947088
"NCC55","OUT019",97.4396340354473
"FDR03","OUT018",2481.81372469129
"FDB14","OUT017",1579.33007947207
"FDR45","OUT013",3962.84413788831
"NCN07","OUT017",2285.40899850851
"FDM51","OUT019",262.943915353839
"FDT52","OUT027",6131.76737879316
"FDL26","OUT046",2693.51239316089
"NCZ42","OUT046",3864.02061295514
"DRI47","OUT019",381.612537572192
"FDW40","OUT013",2468.1781651795
"FDN34","OUT046",2996.24095641621
"FDS01","OUT035",3366.36082735049
"NCG55","OUT045",2028.91846593222
"FDC11","OUT035",1287.4948043833
"FDX35","OUT018",2728.67352753907
"NCB06","OUT046",2312.78535957358
"FDR09","OUT019",478.789266194477
"FDC53","OUT017",1899.57291974092
"FDY45","OUT013",4050.46361029483
"FDA22","OUT010",370.480269624498
"FDE02","OUT035",1873.8963407877
"FDW21","OUT045",1701.76666292867
"FDV34","OUT046",1247.98691949165
"FDS59","OUT049",1997.47294156307
"NCW17","OUT017",2369.56779403013
"NCK54","OUT046",2035.64097260046
"FDG17","OUT019",504.901441416189
"FDG35","OUT017",2864.48518657854
"FDD08","OUT010",122.265689229058
"NCO07","OUT017",3685.61607886898
"FDJ10","OUT010",281.832961463924
"FDW36","OUT017",1661.19391650118
"FDW21","OUT010",236.849482918795
"FDY19","OUT017",1922.09838832832
"DRE03","OUT013",794.980798818368
"NCC55","OUT049",786.670717042723
"FDH52","OUT010",157.445932204039
"FDO09","OUT017",3934.04141192823
"FDU43","OUT045",3649.63803801146
"FDX09","OUT010",391.698484856327
"FDH40","OUT019",266.811524706448
"FDW58","OUT017",1740.41996383303
"FDC47","OUT017",4321.15485410406
"NCR41","OUT035",1617.17063932978
"DRG49","OUT035",4249.20972528692
"FDC52","OUT027",4260.54760734492
"FDY13","OUT046",1190.1914574089
"FDY35","OUT013",759.354763928854
"FDI35","OUT017",3760.61971666886
"NCU18","OUT049",2173.24478533903
"FDY33","OUT018",2263.8905143016
"FDC15","OUT027",4073.34306873828
"FDU01","OUT049",3589.57169321031
"NCU42","OUT046",3195.44792438883
"NCV29","OUT018",2168.33298548449
"NCY30","OUT017",2824.36303284927
"FDQ46","OUT049",1561.94376713481
"FDG58","OUT027",4181.74577738156
"FDK33","OUT017",4198.02141667813
"NCD07","OUT045",1685.6337339402
"NCX29","OUT027",3499.02334326497
"NCT42","OUT013",2422.30510035076
"DRN59","OUT035",769.312089536408
"FDI44","OUT035",1225.11890860272
"FDA45","OUT049",2479.06787176038
"FDP31","OUT045",1025.75895959833
"FDY01","OUT046",1838.20372408099
"FDT09","OUT018",1762.58838358767
"DRH03","OUT027",2483.20882080901
"FDA36","OUT018",2547.44569753741
"NCF31","OUT017",2206.75902841849
"FDG14","OUT049",2680.65804196001
"FDG28","OUT027",6081.04967948808
"FDU14","OUT049",4251.48450323546
"FDY47","OUT019",283.202818471976
"FDI56","OUT049",1450.14426752985
"DRD01","OUT013",735.32085232802
"FDM22","OUT046",1035.97504296059
"FDH33","OUT013",699.543413919155
"DRZ24","OUT013",2190.03809865243
"NCQ38","OUT046",1617.51130501536
"FDO16","OUT027",2290.15149375811
"FDU07","OUT027",3867.8296791618
"NCB07","OUT013",2361.14610062892
"FDU48","OUT045",1834.10185669609
"NCM43","OUT045",2670.90591381123
"FDR31","OUT010",293.755464514285
"DRK49","OUT018",652.550362386574
"NCI30","OUT010",762.766273706912
"DRD60","OUT017",3233.95899564994
"NCG19","OUT046",3085.24266949247
"FDH12","OUT035",1593.27911907882
"FDM32","OUT035",1561.58269153664
"FDM27","OUT035",2783.9168734629
"NCU53","OUT027",4236.30440828132
"NCQ18","OUT046",1905.08646489085
"FDS10","OUT013",2892.46817572517
"FDB33","OUT027",4276.11470248174
"FDI12","OUT013",1192.07901976804
"NCW42","OUT013",3555.56168209038
"NCC06","OUT018",1867.02607916755
"FDW02","OUT017",1989.97949170042
"NCD43","OUT017",1804.8745135489
"FDM57","OUT018",1159.72320250198
"FDA58","OUT017",3354.04426442352
"FDK56","OUT046",3425.71338560238
"FDP52","OUT045",4060.98724570163
"FDW20","OUT018",1739.49109634092
"FDS52","OUT049",1695.33154312529
"NCT29","OUT018",1639.49807841668
"NCL54","OUT013",3158.5411926045
"FDC05","OUT045",2424.40461353721
"FDF34","OUT035",2829.17129170986
"FDP03","OUT027",3381.07925346673
"FDD32","OUT010",171.303224785791
"FDZ10","OUT045",1986.32370129285
"FDZ40","OUT035",899.172428342324
"FDD51","OUT018",711.777477038953
"NCY30","OUT019",370.129779330622
"FDP58","OUT017",3539.09694919954
"FDV49","OUT017",4564.98244794015
"FDY24","OUT019",150.711424012219
"NCO55","OUT017",1769.7837102818
"FDR13","OUT017",1854.74894769168
"FDS51","OUT017",1055.57348487881
"FDP26","OUT045",1366.07483565145
"NCB54","OUT027",3515.56564704705
"FDF32","OUT017",3213.85749647664
"FDN31","OUT018",2787.00331293124
"DRM48","OUT017",868.058856982508
"FDN20","OUT049",2756.87549667455
"DRL01","OUT046",4062.73858373114
"FDV56","OUT049",1750.22143648447
"DRH13","OUT027",2457.32670041774
"FDA03","OUT017",2657.06465862451
"FDF47","OUT027",5227.15274961897
"FDX32","OUT046",2924.88409428455
"FDX57","OUT049",2043.05791608265
"NCA30","OUT045",2978.40301820103
"FDO49","OUT013",779.518245354003
"FDL04","OUT019",268.784845666738
"DRM48","OUT035",847.872640559584
"FDR16","OUT013",3723.16841533737
"NCC19","OUT018",2962.44019716528
"NCE42","OUT045",2866.70752037194
"FDY24","OUT017",1237.89978390605
"FDH19","OUT049",2385.4982727842
"FDJ46","OUT013",2559.98968411002
"FDN45","OUT010",572.105561829271
"FDY08","OUT035",2283.27534784449
"FDZ37","OUT035",1467.59407885376
"NCT30","OUT045",799.332087796844
"DRY23","OUT018",646.772429124429
"NCZ30","OUT018",1764.95986756771
"FDC44","OUT018",1592.35417210666
"FDB45","OUT035",1617.45652744643
"FDY04","OUT013",2302.02182323553
"FDM27","OUT046",2779.07572329325
"FDZ43","OUT017",4150.40430288639
"FDT39","OUT019",374.937502410511
"NCC06","OUT019",312.334649075909
"FDL15","OUT027",3974.29949045542
"FDL57","OUT017",5208.0840606898
"FDU08","OUT046",1475.90930223327
"FDK40","OUT017",4064.05289966309
"FDQ12","OUT010",524.5906372277
"FDS48","OUT017",2676.15579519122
"FDP09","OUT045",4091.95974795418
"FDW21","OUT049",1670.10145775735
"FDY25","OUT035",3663.03955951506
"DRE13","OUT017",1387.31006700949
"FDV43","OUT019",111.787289909715
