"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1729.3118888381
"FDW14","OUT017",1504.85556750848
"NCN55","OUT010",759.660356040001
"FDQ58","OUT017",2672.67726352
"FDY38","OUT027",6481.58702481175
"FDH56","OUT046",2009.20896487048
"FDL48","OUT018",707.881844613333
"FDC48","OUT027",2219.14861187905
"FDN33","OUT045",1535.13694643333
"FDA36","OUT017",3201.6297968
"FDT44","OUT017",2068.31057879238
"FDQ56","OUT045",1372.98188907333
"NCC54","OUT019",739.880139621088
"FDU11","OUT049",2092.55291796667
"DRL59","OUT013",917.527639206667
"FDM24","OUT049",2596.99768614667
"FDI57","OUT045",3174.90895688667
"DRC12","OUT018",2902.84673149667
"NCM42","OUT027",3003.59304001905
"FDA46","OUT010",598.99609146
"FDA31","OUT013",2984.60236638
"NCJ31","OUT035",4119.63408222667
"FDG52","OUT046",848.825068806667
"NCL19","OUT019",429.31975782
"FDS10","OUT035",3088.47113898668
"FDX22","OUT010",871.592876573334
"NCF19","OUT035",830.823567886667
"NCE06","OUT046",2759.37234654
"DRC27","OUT046",4150.70390554666
"FDE21","OUT035",1987.39016306
"NCR42","OUT019",124.087431913334
"FDX51","OUT018",2907.55580543556
"NCR06","OUT018",613.189926566667
"FDU31","OUT027",5809.41389632476
"FDU59","OUT017",2800.98378126
"FDR03","OUT027",6040.50954335746
"FDS49","OUT027",2208.85352085524
"FDD48","OUT010",357.050262204762
"NCF18","OUT017",3253.06420059333
"NCD43","OUT027",2781.83826473428
"NCD54","OUT018",2029.71453642
"FDY19","OUT010",359.287594331429
"NCY54","OUT017",2951.67891147333
"NCL19","OUT018",2148.48821853334
"FDP23","OUT010",664.3981581
"FDC26","OUT013",1942.67348152667
"FDR14","OUT010",190.814595906667
"NCS41","OUT035",3145.85737310667
"FDF41","OUT035",4194.00008058667
"FDU34","OUT046",2166.75262168
"DRH11","OUT046",980.02684004
"FDM03","OUT013",1685.62694049619
"FDS31","OUT017",3091.23935784001
"FDJ20","OUT017",2088.27251196
"FDV44","OUT027",5211.6746334111
"FDG02","OUT049",3262.95257342
"FDA09","OUT013",3532.93001256
"FDT04","OUT013",609.680405993334
"FDL58","OUT019",774.569584641088
"FDE52","OUT045",1451.52163228
"FDW12","OUT035",2488.33288982
"FDL51","OUT017",3682.11246736667
"NCY42","OUT027",3702.71756967524
"FDR07","OUT017",1528.34998097333
"FDN40","OUT045",2440.81836133333
"FDB35","OUT027",2411.04742676935
"FDA22","OUT017",2834.49362842
"NCL06","OUT046",4150.65421467333
"FDI35","OUT013",3120.14368885334
"NCW42","OUT045",3460.21806114
"NCX06","OUT049",3090.50826505334
"FDC37","OUT027",2873.83252604571
"FDZ14","OUT018",1824.54107578
"DRG49","OUT049",4140.95144469333
"NCG06","OUT045",4046.22523794667
"DRC36","OUT045",2758.86023537334
"FDV21","OUT019",401.692409013334
"FDB53","OUT046",2544.00255838
"DRP47","OUT019",743.884571527754
"FDA14","OUT013",2490.76572302
"DRC24","OUT035",2603.10691159334
"FDW21","OUT018",1509.99840241334
"NCH29","OUT046",1695.75984264
"FDU58","OUT013",3250.35923274
"FDY27","OUT017",3056.60732697333
"FDV56","OUT035",1866.15115670667
"FDT59","OUT046",3922.39866647333
"FDB23","OUT046",3831.95461900667
"FDR49","OUT045",743.341087593334
"FDB03","OUT010",729.015490666667
"FDN39","OUT045",2656.18091446667
"FDX02","OUT027",6196.88175994223
"FDQ16","OUT027",2873.02810648571
"FDU35","OUT018",1488.03194835619
"NCT29","OUT013",2123.67491781333
"FDZ27","OUT046",839.513656066668
"FDN57","OUT017",2387.63434610666
"FDA03","OUT018",2209.46531179334
"FDZ36","OUT045",3171.93753587334
"NCU05","OUT013",1426.6506067
"FDT39","OUT018",2250.4046658
"FDK60","OUT017",1697.73523088849
"FDZ25","OUT017",2909.13400296
"FDG12","OUT046",2085.33304934667
"DRB01","OUT019",635.733408196326
"NCC43","OUT027",6671.00584076889
"FDX13","OUT019",766.726615994422
"FDM22","OUT049",912.498008460001
"FDJ03","OUT027",1367.22683593667
"FDU14","OUT018",3448.92116622
"FDB33","OUT010",497.79988444
"FDP27","OUT046",3234.63856288
"FDO38","OUT010",226.887941101905
"FDE28","OUT027",6226.40300855365
"FDO27","OUT035",1667.40348722
"DRL23","OUT027",2865.16686062026
