"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1634.59798090292
"FDW14","OUT017",1366.33392454595
"NCN55","OUT010",826.993147470689
"FDQ58","OUT017",2463.64587672409
"FDY38","OUT027",5785.75303390348
"FDH56","OUT046",1884.90958295497
"FDL48","OUT018",648.483749951447
"FDC48","OUT027",2117.93579554622
"FDN33","OUT045",1513.73425476681
"FDA36","OUT017",3092.93641994115
"FDT44","OUT017",1867.64808669967
"FDQ56","OUT045",1294.75296622566
"NCC54","OUT019",798.690472260107
"FDU11","OUT049",2048.07188744272
"DRL59","OUT013",795.749175374768
"FDM24","OUT049",2452.43223157715
"FDI57","OUT045",3220.97619494811
"DRC12","OUT018",2859.15246606706
"NCM42","OUT027",2722.76227007388
"FDA46","OUT010",356.020077670272
"FDA31","OUT013",2903.52257602038
"NCJ31","OUT035",4019.26242675956
"FDG52","OUT046",777.82213947431
"NCL19","OUT019",501.374544627824
"FDS10","OUT035",3114.4931811722
"FDX22","OUT010",723.692339649119
"NCF19","OUT035",852.649303573498
"NCE06","OUT046",2550.60847853891
"DRC27","OUT046",3966.51033248079
"FDE21","OUT035",1970.6532307704
"NCR42","OUT019",53.9711970065327
"FDX51","OUT018",2874.37823404483
"NCR06","OUT018",514.356956972375
"FDU31","OUT027",5569.90183588805
"FDU59","OUT017",2511.0087859277
"FDR03","OUT027",5472.35270856787
"FDS49","OUT027",2123.89016339751
"FDD48","OUT010",535.63804229451
"NCF18","OUT017",3091.40089832978
"NCD43","OUT027",2716.36810652637
"NCD54","OUT018",1700.41021080187
"FDY19","OUT010",514.479269320398
"NCY54","OUT017",2848.92159301603
"NCL19","OUT018",2206.87357989026
"FDP23","OUT010",681.079234650111
"FDC26","OUT013",1732.92271734242
"FDR14","OUT010",171.715081388532
"NCS41","OUT035",3297.76644604811
"FDF41","OUT035",4051.33768344992
"FDU34","OUT046",2040.91500953283
"DRH11","OUT046",839.938011629862
"FDM03","OUT013",1663.14512584004
"FDS31","OUT017",2994.88042478721
"FDJ20","OUT017",2012.73702956128
"FDV44","OUT027",5209.40058753039
"FDG02","OUT049",3127.44418679647
"FDA09","OUT013",2935.69824674006
"FDT04","OUT013",693.178464018069
"FDL58","OUT019",764.924720040739
"FDE52","OUT045",1335.58101823742
"FDW12","OUT035",2559.0774036006
"FDL51","OUT017",3412.37524863272
"NCY42","OUT027",3398.72993721245
"FDR07","OUT017",1439.434148431
"FDN40","OUT045",2410.54094164714
"FDB35","OUT027",2183.024900934
"FDA22","OUT017",2733.50658829008
"NCL06","OUT046",4079.89699423317
"FDI35","OUT013",3059.58066337686
"NCW42","OUT045",3578.89557146601
"NCX06","OUT049",2950.19203913171
"FDC37","OUT027",2727.28459024261
"FDZ14","OUT018",1826.78894539058
"DRG49","OUT049",3969.89835032002
"NCG06","OUT045",3887.41344194785
"DRC36","OUT045",2831.2455939403
"FDV21","OUT019",480.717751761154
"FDB53","OUT046",2462.34931996447
"DRP47","OUT019",823.057032506931
"FDA14","OUT013",2477.35061035761
"DRC24","OUT035",2586.61744616805
"FDW21","OUT018",1377.86101858551
"NCH29","OUT046",1560.63704214788
"FDU58","OUT013",3177.25990989355
"FDY27","OUT017",2899.65982114389
"FDV56","OUT035",1721.54039766346
"FDT59","OUT046",3989.27700359726
"FDB23","OUT046",3628.95031891633
"FDR49","OUT045",724.537408711008
"FDB03","OUT010",798.690472260107
"FDN39","OUT045",2487.40350326474
"FDX02","OUT027",5747.00289476177
"FDQ16","OUT027",2695.20933355225
"FDU35","OUT018",1370.00418375597
"NCT29","OUT013",2072.99026622318
"FDZ27","OUT046",787.7151899057
"FDN57","OUT017",2030.55314242132
"FDA03","OUT018",2180.75269105119
"FDZ36","OUT045",3101.20319230672
"NCU05","OUT013",1336.40060026587
"FDT39","OUT018",2180.51227897592
"FDK60","OUT017",1566.02644003874
"FDZ25","OUT017",2899.93991310385
"FDG12","OUT046",2051.2973927047
"DRB01","OUT019",332.262727077459
"NCC43","OUT027",5977.45944353256
"FDX13","OUT019",1051.45260575085
"FDM22","OUT049",896.807731197271
"FDJ03","OUT027",1433.12647863675
"FDU14","OUT018",3597.83116026175
"FDB33","OUT010",368.542948062198
"FDP27","OUT046",3152.15936391511
"FDO38","OUT010",346.658378001635
"FDE28","OUT027",5786.70857652399
"FDO27","OUT035",1609.15191090687
"DRL23","OUT027",2689.53246822378
"FDS28","OUT046",881.085275126126
"FDX24","OUT013",1378.08001224173
"FDZ02","OUT035",1658.11510039323
"FDL46","OUT045",1804.81992370078
"FDS60","OUT027",4623.60438775859
"NCO06","OUT017",713.210651511084
"FDO16","OUT035",1388.59474966042
"FDC60","OUT049",1374.85450697975
"FDA48","OUT018",3273.35298136485
"FDZ36","OUT027",5203.69646886332
"FDK27","OUT045",1853.91454916286
"FDW23","OUT018",533.68837793821
"FDM14","OUT018",1497.77797414007
"FDM14","OUT013",1652.3687360378
"FDW60","OUT018",2618.69423653384
"FDE21","OUT013",1901.48156914475
"NCM42","OUT035",1698.74940960329
"FDY59","OUT010",441.320028206793
"DRI49","OUT049",1322.86294455163
"FDT28","OUT019",333.423019860889
"FDQ22","OUT018",530.788849248142
"FDR60","OUT049",1335.7038114282
"FDC50","OUT019",437.235221529896
"FDV24","OUT013",2438.12773002167
"DRF48","OUT010",318.957620850905
"FDQ47","OUT046",682.414721582788
"DRN36","OUT049",1595.66805468919
"NCY06","OUT035",2171.39975334854
"FDE52","OUT035",1463.68356614316
"NCB54","OUT045",2003.14289622685
"NCF31","OUT035",2596.18771167229
"FDJ08","OUT027",5195.21652526819
"NCC07","OUT017",1608.54739165166
"NCD19","OUT027",1653.56090049767
"FDL46","OUT049",1878.05531153634
"FDM20","OUT045",3787.94189644625
"NCI06","OUT010",343.719132258474
"DRM11","OUT035",4378.02900002331
"NCH07","OUT018",2357.93257608422
"FDS23","OUT013",2048.00392099381
"FDO49","OUT018",644.782472965741
"FDS35","OUT049",1066.54502509291
"DRK39","OUT045",1281.91209934909
"DRI39","OUT049",878.31136184717
"FDV04","OUT017",2524.31389215425
"NCN14","OUT035",3265.69118935776
"FDH08","OUT013",4129.38340122012
"FDS20","OUT046",3199.86218784617
"FDV40","OUT049",1208.44938669006
"FDZ48","OUT010",588.569908153976
"FDS24","OUT027",2135.79561256954
"FDK44","OUT049",2928.7435612921
"FDS48","OUT045",2406.99801143786
"FDK26","OUT010",379.501311658538
"FDD23","OUT045",3081.80676499536
"NCH54","OUT017",2550.23166626364
"NCP14","OUT010",495.259443643404
"FDM60","OUT010",53.9711970065327
"FDV24","OUT017",2398.52803741046
"FDH08","OUT018",3515.52814256816
"FDS12","OUT027",3417.98941129029
"FDR39","OUT027",4941.34674474694
"FDP12","OUT027",1338.40109577209
"DRF60","OUT027",5894.65874719198
"FDC09","OUT035",1737.97228993922
"FDF50","OUT018",2959.36977091949
"FDG28","OUT035",4055.42249012681
"NCE19","OUT017",920.147015027478
"NCM53","OUT010",489.101961062432
"NCN18","OUT049",1747.2272188979
"FDF32","OUT035",3410.39182504391
"FDF11","OUT013",3993.53526161956
"DRI59","OUT049",3715.69295122191
"NCG54","OUT035",3001.42683422232
"FDM44","OUT046",1668.80062831357
"FDT57","OUT018",3495.56558086488
"FDV24","OUT046",2438.12773002167
"FDI50","OUT019",807.613635575277
"FDS09","OUT035",876.343749361326
"NCC31","OUT027",3970.9129172379
"FDQ07","OUT019",676.994427973213
"FDC22","OUT017",3097.55838091075
"FDZ56","OUT046",2939.53960571507
"FDZ40","OUT019",190.953919739532
"FDS46","OUT027",3135.16689108922
"DRD24","OUT045",2024.69012840009
"FDV45","OUT017",3123.47615502014
"FDL26","OUT045",2506.17737513766
"FDA56","OUT018",1816.01255558834
"FDN27","OUT046",1736.63923948465
"FDM20","OUT049",4007.83976317503
"FDO16","OUT017",1291.24510806322
"FDL03","OUT035",3243.08891140513
"FDE58","OUT046",1863.75080998086
"FDI02","OUT027",2996.48141029411
"NCC55","OUT019",53.9711970065327
"FDR03","OUT018",3159.66140243203
"FDB14","OUT017",1339.51964909831
"FDR45","OUT013",3993.53526161956
"NCN07","OUT017",2036.20864489485
"FDM51","OUT019",521.177217752787
"FDT52","OUT027",5953.5534012266
"FDL26","OUT046",2506.81503608539
"NCZ42","OUT046",3929.415036967
"DRI47","OUT019",326.237655457849
"FDW40","OUT013",2102.22809172289
"FDN34","OUT046",2914.43905973663
"FDS01","OUT035",3047.78656720419
"NCG55","OUT045",1842.55068286466
"FDC11","OUT035",1406.71396862827
"FDX35","OUT018",3407.82141533125
"NCB06","OUT046",2576.52997405741
"FDR09","OUT019",1034.8927108028
"FDC53","OUT017",1544.33356652026
"FDY45","OUT013",4180.65231905019
"FDA22","OUT010",197.760300487296
"FDE02","OUT035",1652.4595979197
"FDW21","OUT045",1554.21496942178
"FDV34","OUT046",1117.7563849529
"FDS59","OUT049",1677.44962739551
"NCW17","OUT017",2037.16640390772
"NCK54","OUT046",1901.48156914475
"FDG17","OUT019",787.770267134752
"FDG35","OUT017",2812.71846188262
"FDD08","OUT010",53.9711970065327
"NCO07","OUT017",3394.51434293272
"FDJ10","OUT010",441.494871425217
"FDW36","OUT017",1624.05066215225
"FDW21","OUT010",481.95433741685
"FDY19","OUT017",1841.22833248284
"DRE03","OUT013",751.607222662933
"NCC55","OUT049",711.720513531403
"FDH52","OUT010",225.781657151431
"FDO09","OUT017",4231.74354502681
"FDU43","OUT045",3741.6825774937
"FDX09","OUT010",212.761590880436
"FDH40","OUT019",344.702791890513
"FDW58","OUT017",1592.1154993759
"FDC47","OUT017",3711.28836141866
"NCR41","OUT035",1538.67706300724
"DRG49","OUT035",4042.58162325024
"FDC52","OUT027",3808.25331423217
"FDY13","OUT046",1129.9507292708
"FDY35","OUT013",685.532581674157
"FDI35","OUT017",3085.70844893238
"NCU18","OUT049",2116.53259327836
"FDY33","OUT018",2357.93257608422
"FDC15","OUT027",4017.58616124204
"FDU01","OUT049",3193.00791642753
"NCU42","OUT046",2928.62312199882
"NCV29","OUT018",2657.91711686978
"NCY30","OUT017",3164.20426823928
"FDQ46","OUT049",1747.2272188979
"FDG58","OUT027",3965.25741476437
"FDK33","OUT017",3392.12944183152
"NCD07","OUT045",1825.97869667489
"NCX29","OUT027",3808.11322031816
"NCT42","OUT013",2443.78323249521
"DRN59","OUT035",783.323112302563
"FDI44","OUT035",1405.57226189152
"FDA45","OUT049",2704.18498734951
"FDP31","OUT045",833.514011098939
"FDY01","OUT046",1880.82477627808
"FDT09","OUT018",1826.92903930459
"DRH03","OUT027",2381.108452371
"FDA36","OUT018",2829.65443670364
"NCF31","OUT017",2469.60024457537
"FDG14","OUT049",2480.73862819684
"FDG28","OUT027",5953.5534012266
"FDU14","OUT049",4100.06858510853
"FDY47","OUT019",484.802558438051
"FDI56","OUT049",1403.16090359945
"DRD01","OUT013",864.006860291696
"FDM22","OUT046",876.847727168266
"FDH33","OUT013",693.178464018069
"DRZ24","OUT013",1872.0687160784
"NCQ38","OUT046",1652.3687360378
"FDO16","OUT027",2102.67510320855
"FDU07","OUT027",3819.0297040344
"NCB07","OUT013",3131.000590941
"FDU48","OUT045",1999.80023611278
"NCM43","OUT045",2525.13426242863
"FDR31","OUT010",322.506536144647
"DRK49","OUT018",517.947982371571
"NCI30","OUT010",794.917890780334
"DRD60","OUT017",3007.14010388908
"NCG19","OUT046",3886.22086511581
"FDH12","OUT035",1721.40030374945
"FDM32","OUT035",1442.52479316905
"FDM27","OUT035",2661.81784296741
"NCU53","OUT027",4006.66595611669
"NCQ18","OUT046",1579.20312961714
"FDS10","OUT013",2928.72353602814
"FDB33","OUT027",4026.6330837839
"FDI12","OUT013",1388.85640204397
"NCW42","OUT013",3649.24817038577
"NCC06","OUT018",1811.28567489
"FDW02","OUT017",2011.24490838923
"NCD43","OUT017",1629.70616462578
"FDM57","OUT018",1114.16146743153
"FDA58","OUT017",3747.54046961829
"FDK56","OUT046",3269.72344774705
"FDP52","OUT045",3877.53071709427
"FDW20","OUT018",1811.28567489
"FDS52","OUT049",1655.75675387703
"NCT29","OUT018",1660.54122955486
"NCL54","OUT013",2914.43905973663
"FDC05","OUT045",3198.49784835896
"FDF34","OUT035",3200.12745972669
"FDP03","OUT027",3375.44647956403
"FDD32","OUT010",346.402697466211
"FDZ10","OUT045",2000.75799512565
"FDZ40","OUT035",955.912439225314
"FDD51","OUT018",561.994774557904
"NCY30","OUT019",212.862004909754
"FDP58","OUT017",3418.5327312137
"FDV49","OUT017",3903.74671176042
"FDY24","OUT019",118.954123665349
"NCO55","OUT017",1634.96714586849
"FDR13","OUT017",1862.38710545696
"FDS51","OUT017",1025.48049808156
"FDP26","OUT045",1578.29646545057
"NCB54","OUT027",3432.99070168343
"FDF32","OUT017",3123.47615502014
"FDN31","OUT018",2860.19417178263
"DRM48","OUT017",719.39933704285
"FDN20","OUT049",2921.76885058019
"DRL01","OUT046",3755.71822475107
"FDV56","OUT049",1666.67323759327
"DRH13","OUT027",2703.52723964979
"FDA03","OUT017",2405.67566105604
"FDF47","OUT027",5714.92763807142
"FDX32","OUT046",2477.35061035761
"FDX57","OUT049",1608.50892156576
"NCA30","OUT045",3130.50925192212
"FDO49","OUT013",812.827590209198
"FDL04","OUT019",492.874542542205
"DRM48","OUT035",749.509258767156
"FDR16","OUT013",3444.82731759836
"NCC19","OUT018",2881.90156789182
"NCE42","OUT045",3420.20592600635
"FDY24","OUT017",876.839328014644
"FDH19","OUT049",2921.76885058019
"FDJ46","OUT013",2903.52257602038
"FDN45","OUT010",836.204292418775
"FDY08","OUT035",2163.2980920992
"FDZ37","OUT035",1463.68356614316
"NCT30","OUT045",790.368521024983
"DRY23","OUT018",549.153907681333
"NCZ30","OUT018",1832.44444786411
"FDC44","OUT018",1678.16381898715
"FDB45","OUT035",1573.12996027913
"FDY04","OUT013",2576.52997405741
"FDM27","OUT046",2589.83135887485
"FDZ43","OUT017",3793.59425677635
"FDT39","OUT019",299.855641998483
"NCC06","OUT019",482.417657336852
"FDL15","OUT027",3962.87251366317
"FDL57","OUT017",4060.11733731398
"FDU08","OUT046",1588.94343876757
"FDK40","OUT017",3903.74671176042
"FDQ12","OUT010",896.577756626915
"FDS48","OUT017",2443.40642021993
"FDP09","OUT045",3406.72288830263
"FDW21","OUT049",1558.50965142759
"FDY25","OUT035",3146.56843786256
"DRE13","OUT017",1307.69771288401
"FDV43","OUT019",34.7323586555328
"FDD22","OUT045",1673.99183106234
"FDM46","OUT019",348.940339848373
"NCO30","OUT010",411.749481282559
"FDM25","OUT046",2903.52257602038
"NCN41","OUT049",2087.29476777866
"FDU24","OUT045",1392.30262333603
"FDZ50","OUT046",3210.77867156241
"FDP45","OUT013",4099.06546837049
"NCM54","OUT045",2000.75799512565
"FDW10","OUT019",191.602817906324
"FDP20","OUT017",2012.73702956128
"FDK32","OUT046",2477.35061035761
"FDN52","OUT049",1388.15961320631
"FDM58","OUT045",1684.90831477858
"FDZ46","OUT027",2985.56492657787
"NCA18","OUT018",1649.62474583862
"FDD35","OUT046",2078.64576869671
"NCK31","OUT035",881.999251834856
"FDI40","OUT027",2721.62908776908
"FDT50","OUT019",398.012341193959
"NCT06","OUT046",2595.48686134838
"FDT31","OUT035",3178.96868675258
"FDT45","OUT049",891.152228723741
"FDT13","OUT045",3165.5266186211
"FDO50","OUT045",1340.84199948013
"NCU18","OUT010",495.719042154294
"NCR54","OUT049",3177.38034918683
"NCO18","OUT018",2657.91711686978
"FDU09","OUT045",889.394108718939
"FDT13","OUT018",2932.99754169214
"FDE09","OUT046",1738.57821981595
"NCK53","OUT019",521.177217752787
"FDG45","OUT049",3487.43821577353
"DRH15","OUT035",753.746806725016
"FDO21","OUT019",908.381385480709
"FDD14","OUT027",5195.84280211576
"FDC09","OUT046",1668.80062831357
"FDH45","OUT027",1334.16354781423
"FDV32","OUT046",1052.24052353744
"FDG12","OUT035",1943.30485477839
"FDS32","OUT013",2094.58220937898
"NCL55","OUT018",3611.13254507919
"DRE01","OUT035",4027.5803328571
"DRE15","OUT049",1343.5197374183
"NCL42","OUT045",3766.78312347214
"FDP31","OUT013",903.096668689975
"FDN33","OUT018",1252.95104747118
"FDZ59","OUT046",2578.91487515861
"FDE45","OUT010",244.937261600109
"FDJ07","OUT013",1874.13319315274
"FDQ45","OUT018",2857.96083332334
"FDM33","OUT027",5615.2783530797
"FDO15","OUT010",334.145371636746
"FDM46","OUT013",1373.85511165083
"FDR03","OUT045",3392.19047936099
"FDY49","OUT018",2528.16875570415
"FDQ60","OUT045",1815.35590142774
"FDW10","OUT049",2877.27442736026
"FDO51","OUT049",717.376016004933
"FDJ40","OUT018",1427.86028872368
"FDS20","OUT018",2896.98051199745
"FDU45","OUT013",1901.48156914475
"FDV02","OUT035",3001.42683422232
"FDN09","OUT046",4004.4517453358
"NCM55","OUT027",5242.91934919925
"FDN23","OUT018",2201.91146402531
"FDY31","OUT010",294.200139524953
"FDW03","OUT010",487.60983989038
"FDD14","OUT046",3163.70212447892
"FDV23","OUT017",2033.89580253539
