"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1749.37036132812
"FDW14","OUT017",1391.61791992188
"NCN55","OUT010",729.219970703125
"FDQ58","OUT017",2631.97729492188
"FDY38","OUT027",6339.5390625
"FDH56","OUT046",1874.89086914062
"FDL48","OUT018",711.236145019531
"FDC48","OUT027",2110.94384765625
"FDN33","OUT045",1519.89953613281
"FDA36","OUT017",2986.1787109375
"FDT44","OUT017",1875.51721191406
"FDQ56","OUT045",1365.5859375
"NCC54","OUT019",718.605346679688
"FDU11","OUT049",1933.49365234375
"DRL59","OUT013",823.623107910156
"FDM24","OUT049",2421.14208984375
"FDI57","OUT045",3208.42919921875
"DRC12","OUT018",2718.10668945312
"NCM42","OUT027",2931.78515625
"FDA46","OUT010",583.612060546875
"FDA31","OUT013",2826.95556640625
"NCJ31","OUT035",4077.67211914062
"FDG52","OUT046",739.557312011719
"NCL19","OUT019",416.018524169922
"FDS10","OUT035",3099.64282226562
"FDX22","OUT010",621.228881835938
"NCF19","OUT035",813.96826171875
"NCE06","OUT046",2593.546875
"DRC27","OUT046",3910.140625
"FDE21","OUT035",2009.947265625
"NCR42","OUT019",104.857566833496
"FDX51","OUT018",2731.81762695312
"NCR06","OUT018",617.806945800781
"FDU31","OUT027",5857.47607421875
"FDU59","OUT017",2658.59350585938
"FDR03","OUT027",5340.6650390625
"FDS49","OUT027",2110.54760742188
"FDD48","OUT010",361.132110595703
"NCF18","OUT017",3074.96459960938
"NCD43","OUT027",2774.1533203125
"NCD54","OUT018",1874.90991210938
"FDY19","OUT010",361.694122314453
"NCY54","OUT017",2793.76000976562
"NCL19","OUT018",2025.65393066406
"FDP23","OUT010",640.037353515625
"FDC26","OUT013",1798.51513671875
"FDR14","OUT010",161.594467163086
"NCS41","OUT035",3123.88208007812
"FDF41","OUT035",4191.13623046875
"FDU34","OUT046",1962.77294921875
"DRH11","OUT046",889.152099609375
"FDM03","OUT013",1712.37390136719
"FDS31","OUT017",3098.55004882812
"FDJ20","OUT017",1935.21850585938
"FDV44","OUT027",5096.43310546875
"FDG02","OUT049",3026.6865234375
"FDA09","OUT013",3216.25048828125
"FDT04","OUT013",604.081115722656
"FDL58","OUT019",524.281433105469
"FDE52","OUT045",1447.91137695312
"FDW12","OUT035",2496.994140625
"FDL51","OUT017",3434.29638671875
"NCY42","OUT027",3675.86010742188
"FDR07","OUT017",1426.8818359375
"FDN40","OUT045",2424.18627929688
"FDB35","OUT027",2362.03369140625
"FDA22","OUT017",2798.16625976562
"NCL06","OUT046",4206.15869140625
"FDI35","OUT013",2911.90283203125
"NCW42","OUT045",3526.07177734375
"NCX06","OUT049",3058.23706054688
"FDC37","OUT027",2860.7333984375
"FDZ14","OUT018",1698.1953125
"DRG49","OUT049",4146.9521484375
